company,current price,change in price,percentage change in price,volume,turnover,PE,PB,yield,market cap,one-month,two-month,three-month,fiftytwo-week,current ratio,quick ratio,roa,roe,gp margin,np margin,payout,DE,revenue,EPS,revenue growth,EPS growth
FEIYU,0.72,-0.05,-6.494,34950000,25350000,,1.46,0.0,111000000000,0.660 - 0.800,0.660 - 0.830,0.660 - 0.920,0.660 - 1.400,1.88,1.88,-49.52,-59.16,70.51,-286.61,,8.39,15789000000.0,-0.28800000000000003,-24.476999999999997,158.930
FORTUNET E-COMM,1.08,0.0,0.0,0,0,,4.15,0.0,196000000000,0.970 - 1.110,0.970 - 1.130,0.970 - 1.380,0.970 - 1.670,12.99,12.98,-14.71,-16.85,-4.52,-39.62,,21.58,20097000000.0,-0.048,-53.082,-64.037
LEYOU TECH H,2.0,0.0,0.0,1150000000,2326000000,85.32,3.55,0.0,614000000000,1.630 - 2.270,1.590 - 2.270,1.560 - 2.270,1.560 - 2.270,3.99,3.98,2.81,3.98,66.44,5.28,,0.26,130000000000.0,0.023,36.986,24.823
C P PROCUREMENT,0.09300000000000001,0.006999999999999999,8.14,56000000,5236000,,0.64,0.0,14987000000,0.084 - 0.121,0.084 - 0.138,0.084 - 0.159,0.084 - 0.450,1.09,1.08,-35.68,-74.83,26.57,-272.06,,22.93,6484000000.0,-0.128,26.595,-19.434
MEITU,8.32,-0.06,-0.716,628000000,5223000000,,5.26,0.0,3557000000000,8.000 - 9.180,8.000 - 10.480,8.000 - 10.660,8.000 - 14.000,5.43,4.86,-2.9,-3.5,23.07,-4.36,,,543000000000.0,-0.06,209.429,-98.220
TIANGE,6.9,0.08,1.173,374000000,2567000000,22.93,2.7,1.02,890000000000,6.360 - 6.890,6.360 - 7.580,6.350 - 7.580,5.000 - 7.580,7.01,7.01,10.93,11.93,88.07,35.38,23.27,,110000000000.0,0.301,20.055,47.977
DIGIT HOLLYWOOD,1.06,0.09,9.277999999999999,615000000,638000000,104.35,5.42,0.0,212000000000,0.790 - 1.000,0.760 - 1.000,0.760 - 1.040,0.630 - 1.260,,,,,,,,,22364000000.0,0.01,,
BAIOO,0.48,0.0,0.0,37680000,17962000,,0.81,4.37,138000000000,0.450 - 0.495,0.420 - 0.495,0.420 - 0.495,0.420 - 0.820,11.76,11.69,-0.88,-0.97,53.29,-4.11,-336.54,0.06,42025000000.0,-0.006,-1.3259999999999998,-143.155
HC INTL,5.29,-0.05,-0.9359999999999999,113000000,596000000,16.64,1.31,0.38,593000000000,4.930 - 5.690,4.650 - 6.380,4.500 - 6.380,4.500 - 7.980,2.22,2.02,3.65,7.33,35.24,7.23,6.3,42.1,444000000000.0,0.318,103.98,51.971
IBO TECH,1.78,0.18,11.25,955000000,1639000000,,,0.0,71200000000,1.410 - 1.730,1.410 - 1.730,1.400 - 1.730,1.400 - 2.520,,,,,,,,,,,,
VOBILE GROUP,2.89,0.03,1.0490000000000002,214000000,617000000,,0.61,0.0,123000000000,2.680 - 2.990,2.680 - 3.320,2.400 - 3.410,2.400 - 4.200,,,,,,,,,12241000000.0,-0.059000000000000004,,
OURGAME,1.42,0.01,0.7090000000000001,57200000,80045000,,0.76,0.0,155000000000,1.400 - 2.070,1.400 - 2.430,1.400 - 2.650,1.400 - 3.070,4.9,4.89,-1.48,-1.66,53.33,-3.89,,,73975000000.0,-0.036000000000000004,-23.584,-117.363
EFT SOLUTIONS,0.47,0.005,1.075,17500000,8008000,,3.88,0.0,22560000000,0.455 - 0.540,0.385 - 0.670,0.340 - 0.670,0.200 - 0.700,10.94,10.77,-2.03,-2.23,41.38,-2.43,,0.54,5328000000.0,-0.003,15.866,-108.960
SINO VISION WW,0.26,-0.005,-1.8869999999999998,572000000,148000000,,2.99,0.0,72182000000,0.250 - 0.290,0.250 - 0.290,0.249 - 0.295,0.151 - 0.350,2.99,2.95,-15.6,-21.11,33.04,-15.75,,,32315000000.0,-0.024,-19.158,-85.224
CHI ASSURANCE,0.67,-0.01,-1.4709999999999999,60800000,40738000,,2.3,0.0,118000000000,0.670 - 0.800,0.670 - 0.900,0.670 - 0.960,0.670 - 1.200,0.93,0.93,-16.85,-52.19,100.0,-1361.77,,55.57,4509000000.0,-0.157,-94.485,-304.986
AURUM PACIFIC,0.121,0.002,1.681,7936000000,975000000,,0.51,0.0,15399000000,0.104 - 0.390,0.104 - 0.390,0.104 - 0.390,0.080 - 0.390,1.32,1.32,-12.03,-18.99,85.83,-75.74,,12.51,6446000000.0,-0.045,89.946,-13.793
S ROBOT EDU,0.345,0.0,0.0,100000,34500,143.75,6.25,0.0,65402000000,0.340 - 0.415,0.340 - 0.415,0.340 - 0.435,0.325 - 0.500,0.36,0.36,0.71,4.21,60.69,4.2,,113.58,9151000000.0,0.002,163.83100000000002,-115.287
CHINA BINARY,0.64,0.01,1.587,3000000,1896000,36.31,0.79,0.0,30720000000,0.600 - 0.900,0.600 - 1.020,0.600 - 1.090,0.500 - 1.190,3.11,3.05,1.68,2.18,42.87,26.66,,18.85,3167000000.0,0.018000000000000002,-7.972,-95.122
LINEKONG,0.85,-0.05,-5.556,11200000,9559000,,0.39,0.0,31342000000,0.780 - 1.000,0.780 - 1.380,0.780 - 1.590,0.780 - 2.790,2.05,2.05,-28.43,-43.74,40.45,-59.45,,20.33,59314000000.0,-1.0070000000000001,-18.937,101.390
CMON,0.222,-0.008,-3.478,50000000,11017000,14.95,2.54,0.0,40093000000,0.226 - 0.249,0.226 - 0.265,0.201 - 0.325,0.190 - 0.325,1.13,0.66,10.53,17.31,48.24,11.73,,16.86,23299000000.0,0.015,43.328,173.529
GAMEONE,1.0,0.0,0.0,2000000,1864000,,2.25,0.0,16000000000,0.940 - 1.140,0.940 - 1.300,0.880 - 1.300,0.700 - 2.230,2.91,2.91,-18.3,-24.87,33.0,-22.23,,,7963000000.0,-0.11,0.027999999999999997,83.333
FINET GROUP,0.85,0.01,1.19,11200000,9476000,,4.68,0.0,56656000000,0.820 - 0.870,0.780 - 0.870,0.780 - 0.900,0.610 - 1.160,2.25,2.25,-14.16,-30.3,71.52,-270.5,,93.16,1077000000.0,-0.061,-3.7289999999999996,-23.048
CHINA SMARTPAY,1.06,-0.03,-2.752,53000000,55940000,,1.25,0.0,174000000000,0.820 - 1.350,0.820 - 1.350,0.820 - 1.350,0.810 - 1.570,2.06,2.06,-7.42,-14.12,45.19,-35.65,,35.49,48912000000.0,-0.121,-18.248,-338.538
FIRE ROCK,5.99,-0.01,-0.16699999999999998,200000,1198000,18.42,6.86,4.59,95840000000,5.700 - 6.100,5.310 - 6.100,5.310 - 6.100,2.720 - 6.100,14.94,14.94,33.56,37.26,85.71,54.04,84.58,,9628000000.0,0.325,92.62899999999999,105.616
PARENTING NET,0.475,-0.005,-1.042,10000000,4702000,11.76,1.07,0.32,48719000000,0.350 - 0.530,0.350 - 0.530,0.350 - 0.550,0.350 - 2.360,14.83,14.83,8.69,9.08,86.43,37.95,3.71,,10926000000.0,0.04,15.789000000000001,-16.801
