company,current price,change in price,percentage change in price,volume,turnover,PE,PB,yield,market cap,one-month,two-month,three-month,fiftytwo-week,current ratio,quick ratio,roa,roe,gp margin,np margin,payout,DE,revenue,EPS,revenue growth,EPS growth
HENGTEN NET,0.325,0.02,6.557,29202000000,9054000000,228.76,22.98,0.0,2425000000000,0.280 - 0.345,0.280 - 0.395,0.280 - 0.395,0.101 - 0.495,4.26,4.24,7.98,10.93,69.69,36.76,,5.77,31381000000.0,0.001,136.834,2191.446
SINO-I TECH,0.078,0.0,0.0,71000000,5484000,130.0,0.86,6.41,155000000000,0.071 - 0.080,0.071 - 0.085,0.071 - 0.092,0.071 - 0.112,0.89,0.89,0.45,0.63,81.42,1.37,833.33,9.05,83325000000.0,0.001,1.851,-76.000
PAX GLOBAL,3.64,0.01,0.275,228000000,822000000,9.92,1.02,2.2,400000000000,3.270 - 3.650,3.270 - 4.080,3.270 - 4.120,3.250 - 5.300,3.67,2.98,7.79,10.39,40.59,11.35,21.8,0.37,359000000000.0,0.36700000000000005,23.2,-31.911
SMARTAC GP CH,0.11800000000000001,-0.002,-1.6669999999999998,75200000,8946000,29.83,4.56,0.0,56192000000,0.110 - 0.134,0.101 - 0.138,0.094 - 0.138,0.094 - 0.149,1.42,1.38,6.4,15.31,100.0,100.29,,10.22,1881000000.0,0.004,-30.38,-109.728
COGOBUY,3.8,-0.02,-0.524,107000000,405000000,15.31,1.29,1.32,559000000000,3.630 - 4.030,3.630 - 4.700,3.630 - 4.700,3.540 - 11.180,2.8,2.53,5.45,8.37,8.01,3.14,20.14,30.03,1153000000000.0,0.248,-19.801,-35.641
BOYAA,3.09,-0.01,-0.32299999999999995,22200000,68491000,7.28,0.89,0.0,234000000000,2.950 - 3.600,2.910 - 3.600,2.870 - 3.600,2.840 - 4.050,6.23,6.23,9.71,10.94,62.16,33.07,,,88191000000.0,0.425,6.499,22.441
FORGAME,9.9,-0.1,-1.0,2520000,23769000,15.29,1.02,0.0,137000000000,8.550 - 11.560,8.550 - 11.560,7.910 - 11.560,7.910 - 17.800,3.57,3.57,4.86,6.68,64.16,21.37,,,41538000000.0,0.647,3.3819999999999997,-120.159
TRADELINK,1.33,-0.01,-0.746,116000000,154000000,14.3,2.98,7.14,106000000000,1.290 - 1.340,1.290 - 1.360,1.280 - 1.370,1.230 - 1.620,0.66,0.66,13.19,20.91,100.0,30.65,102.15,,26019000000.0,0.09300000000000001,1.2229999999999999,-6.061
PACIFIC ONLINE,1.27,0.03,2.419,6612000,8285000,11.4,1.23,10.72,144000000000,1.090 - 1.290,1.090 - 1.290,1.090 - 1.300,1.090 - 1.940,2.49,2.49,7.54,10.74,58.03,10.93,122.17,,116000000000.0,0.111,6.707000000000001,-24.979
FUTURE WORLD FH,0.184,-0.003,-1.604,3046000000,566000000,2.72,0.99,0.0,213000000000,0.184 - 0.220,0.184 - 0.265,0.183 - 0.265,0.101 - 0.395,4.45,4.45,26.49,31.76,95.62,556.4,,17.25,8660000000.0,0.068,10.502,320.497
TENCENT,385.0,-8.4,-2.135,2391000000,923000000000,42.27,11.91,0.23,365873000000000,377.200 - 425.600,377.200 - 475.600,377.200 - 475.600,241.800 - 476.600,1.18,1.17,12.89,27.93,49.18,30.08,9.66,51.51,28505000000000.0,9.109,68.828,87.025
CHINA LIT,61.4,-0.2,-0.325,274000000,16515000000,69.21,3.68,0.0,5565000000000,60.700 - 73.500,60.700 - 84.200,60.700 - 84.200,60.700 - 110.000,5.35,5.22,3.67,4.41,50.68,13.58,,3.76,491000000000.0,0.887,,
NETDRAGON,20.05,0.39,1.984,159000000,3168000000,,1.96,1.0,1069000000000,18.300 - 19.800,18.300 - 23.450,17.760 - 23.450,17.760 - 34.350,2.6,2.33,-0.36,-0.46,56.36,-0.54,-404.9,8.23,464000000000.0,-0.049,49.391999999999996,-89.140
IGG,12.26,0.18,1.49,1128000000,13704000000,13.39,9.1,4.0,1637000000000,9.890 - 12.300,9.890 - 12.300,7.350 - 12.300,7.350 - 13.950,3.28,3.27,48.99,68.08,68.27,25.69,53.51,,475000000000.0,0.9159999999999999,89.99600000000001,119.938
CHINA E-WALLET,0.47,-0.01,-2.083,461000000,212000000,,1.26,0.0,129000000000,0.355 - 0.600,0.340 - 0.600,0.340 - 0.600,0.046 - 0.640,18.28,18.28,-59.71,-66.84,15.06,-714.04,,2.41,5501000000.0,-0.156,59.975,45.378
