,current price,change in price,percentage change in price,volume,turnover,PE,PB,yield,market cap,current ratio,quick ratio,roa,roe,gp margin,np margin,payout,DE,revenue,EPS,revenue growth
count,36.0,36.0,36.0,48.0,48.0,34.0,33.0,36.0,36.0,33.0,33.0,33.0,33.0,0.0,33.0,31.0,0.0,33.0,33.0,30.0
mean,15.988611111111116,0.3025,1.321,3343784166.6666665,24061327812.5,7.415,0.7621212121212121,4.3311111111111105,15325277777777.777,0.7287878787878787,0.7287878787878787,0.9233333333333332,11.785757575757577,,39.806363636363656,33.21322580645161,,14698454545454.545,1.9996060606060613,9.189833333333336
std,31.28905670429271,0.7742697019957396,1.9495799401043148,9885454597.141182,59104668096.84175,5.859572975443301,0.3822283150794625,3.468842357557821,34241738309188.105,0.1446063098501751,0.1446063098501751,0.365783975409895,3.707210904358415,,16.177997175597365,19.40482352184576,,22788675489553.617,3.1121612861823413,8.206172101380233
min,1.77,-0.12,-2.553,0.0,0.0,2.25,0.33,0.0,179000000000.0,0.47,0.47,0.18,2.62,,8.45,3.79,,160000000000.0,0.252,-11.289000000000001
25%,3.4924999999999997,0.01,0.27975,0.0,0.0,4.51,0.52,3.0974999999999997,800250000000.0,0.63,0.63,0.74,10.16,,31.96,24.905,,1216000000000.0,0.695,5.359
50%,4.88,0.07,1.2494999999999998,17930000.0,130076000.0,5.845,0.66,4.39,1623500000000.0,0.75,0.75,0.89,12.4,,37.2,30.48,,2699000000000.0,1.0070000000000001,9.1395
75%,11.275,0.1725,2.11425,939000000.0,13752250000.0,8.5475,0.88,5.5375,11460250000000.0,0.84,0.84,1.1,13.45,,42.34,41.215,,18850000000000.0,1.5830000000000002,14.25375
max,174.6,4.0,9.333,46135000000.0,303000000000.0,33.76,2.2,20.62,157954000000000.0,1.0,1.0,2.4,21.57,,101.59,106.25,,81004000000000.0,16.13,27.951999999999998
