company,current price,change in price,percentage change in price,volume,turnover,PE,PB,yield,market cap,one-month,two-month,three-month,fiftytwo-week,current ratio,quick ratio,roa,roe,gp margin,np margin,payout,DE,revenue,EPS,revenue growth,EPS growth
CM BANK,29.35,0.8,2.802,4036000000,118000000000,8.81,1.29,3.43,13474000000000.0,27.350 - 33.150,27.350 - 34.200,27.350 - 34.200,26.400 - 39.500,0.84,0.84,1.11,14.61,,31.88,30.22,,26380000000000.0,3.333,13.073,21.922
BANK OF CHINA,3.42,0.04,1.183,42177000000,144000000000,5.09,0.56,6.17,28599000000000.0,3.260 - 3.420,3.260 - 3.510,3.200 - 3.510,3.200 - 4.960,0.82,0.82,0.89,11.52,,35.64,31.43,,57998000000000.0,0.6709999999999999,7.4670000000000005,11.883
BOCOM 15USDPREF,,,,0,0,,,,,,,,,,,,,,,,,,,,
CCB 15USDPREF,,,,0,0,,,,,,,,,,,,,,,,,,,,
HSBNK 16USDPREF,,,,0,0,,,,,,,,,,,,,,,,,,,,
CMBC 16USDPREF,,,,0,0,,,,,,,,,,,,,,,,,,,,
CZB 17USDPREF,,,,0,0,,,,,,,,,,,,,,,,,,,,
BQD 17USDPREF,,,,0,0,,,,,,,,,,,,,,,,,,,,
PSBC 17USDPREF,,,,0,0,,,,,,,,,,,,,,,,,,,,
ZZBNK 17USDPREF,,,,0,0,,,,,,,,,,,,,,,,,,,,
CMB 17USDPREF,,,,0,0,,,,,,,,,,,,,,,,,,,,
BOJZ 17USDPREF,,,,0,0,,,,,,,,,,,,,,,,,,,,
BCQ 17USDPREF,,,,0,0,,,,,,,,,,,,,,,,,,,,
ZYBNK 18USDPREF,,,,0,0,,,,,,,,,,,,,,,,,,,,
JIUTAI RCB,4.58,-0.12,-2.553,100000,449000,11.87,1.21,4.71,348000000000.0,3.860 - 5.000,3.700 - 5.000,3.000 - 5.000,3.000 - 5.000,0.73,0.73,0.68,10.16,,21.84,55.92,,700000000000.0,0.386,5.824,-39.359
HARBIN BANK,1.77,0.01,0.568,2100000,3744000,3.08,0.39,3.39,535000000000.0,1.630 - 1.880,1.630 - 1.920,1.630 - 1.920,1.610 - 2.750,0.63,0.63,0.93,12.72,,37.14,10.42,,1694000000000.0,0.575,7.595,17.695
BANKOFJIUJIANG,10.58,-0.02,-0.18899999999999997,1700000,17689000,,,0.0,431000000000.0,10.100 - 10.600,10.100 - 10.620,10.100 - 10.620,8.370 - 10.800,,,,,,,,,,,,
BANKOFZHENGZHOU,3.28,0.01,0.306,91800000,301000000,3.42,0.45,0.0,498000000000.0,3.100 - 3.880,3.100 - 3.940,3.100 - 4.090,3.100 - 6.080,0.5,0.5,0.98,13.29,,41.91,,,1224000000000.0,0.9590000000000001,10.401,15.080
CEB BANK,3.44,0.07,2.077,868000000,2980000000,4.48,0.49,6.31,4361000000000.0,3.280 - 3.520,3.280 - 3.620,3.190 - 3.620,3.140 - 4.760,0.7,0.7,0.77,10.35,,34.28,28.28,,11032000000000.0,0.767,5.204,9.600
